repo id                                                                   status
abf-downloads.openmandriva.org_4.0_container_561587_x86_64_main_release   disabled
abf-downloads.openmandriva.org_4.0_container_561587_x86_64_main_release_  disabled
cooker-i686                                                               disabled
cooker-i686-debuginfo                                                     disabled
cooker-i686-non-free                                                      disabled
cooker-i686-non-free-debuginfo                                            disabled
cooker-i686-non-free-source                                               disabled
cooker-i686-restricted                                                    disabled
cooker-i686-restricted-debuginfo                                          disabled
cooker-i686-restricted-source                                             disabled
cooker-i686-source                                                        disabled
cooker-i686-unsupported                                                   disabled
cooker-i686-unsupported-debuginfo                                         disabled
cooker-i686-unsupported-source                                            disabled
cooker-testing-i686                                                       disabled
cooker-testing-i686-debuginfo                                             disabled
cooker-testing-i686-non-free                                              disabled
cooker-testing-i686-non-free-debuginfo                                    disabled
cooker-testing-i686-non-free-source                                       disabled
cooker-testing-i686-restricted                                            disabled
cooker-testing-i686-restricted-debuginfo                                  disabled
cooker-testing-i686-restricted-source                                     disabled
cooker-testing-i686-source                                                disabled
cooker-testing-i686-unsupported                                           disabled
cooker-testing-i686-unsupported-debuginfo                                 disabled
cooker-testing-i686-unsupported-source                                    disabled
cooker-testing-x86_64                                                     disabled
cooker-testing-x86_64-debuginfo                                           disabled
cooker-testing-x86_64-non-free                                            disabled
cooker-testing-x86_64-non-free-debuginfo                                  disabled
cooker-testing-x86_64-non-free-source                                     disabled
cooker-testing-x86_64-restricted                                          disabled
cooker-testing-x86_64-restricted-debuginfo                                disabled
cooker-testing-x86_64-restricted-source                                   disabled
cooker-testing-x86_64-source                                              disabled
cooker-testing-x86_64-unsupported                                         disabled
cooker-testing-x86_64-unsupported-debuginfo                               disabled
cooker-testing-x86_64-unsupported-source                                  disabled
cooker-x86_64                                                             disabled
cooker-x86_64-debuginfo                                                   disabled
cooker-x86_64-non-free                                                    disabled
cooker-x86_64-non-free-debuginfo                                          disabled
cooker-x86_64-non-free-source                                             disabled
cooker-x86_64-restricted                                                  disabled
cooker-x86_64-restricted-debuginfo                                        disabled
cooker-x86_64-restricted-source                                           disabled
cooker-x86_64-source                                                      disabled
cooker-x86_64-unsupported                                                 disabled
cooker-x86_64-unsupported-debuginfo                                       disabled
cooker-x86_64-unsupported-source                                          disabled
release-i686                                                              disabled
release-i686-debuginfo                                                    disabled
release-i686-non-free                                                     disabled
release-i686-non-free-debuginfo                                           disabled
release-i686-non-free-source                                              disabled
release-i686-restricted                                                   disabled
